,num_threshold,config,fitness,thresholds,time
0,5,"{'fitness_function': 0.9, 'num_generations': 79, 'sol_per_pop': 226, 'parent_selection_type': 'rank', 'K_tournament': 0, 'crossover_type': 'single_point', 'crossover_probability': 0.43000000000000005, 'mutation_type': 'swap', 'mutation_probability': 0.23}",4365953788.296747,[ 57  78 102 132 163],35.91673016548157
1,5,"{'fitness_function': 0.44, 'num_generations': 68, 'sol_per_pop': 266, 'parent_selection_type': 'sss', 'K_tournament': 0, 'crossover_type': 'scattered', 'crossover_probability': 0.8500000000000001, 'mutation_type': 'inversion', 'mutation_probability': 0.5700000000000001}",2029265474.2403626,[ 65  90 113 142 177],15.939316272735596
2,5,"{'fitness_function': 0.77, 'num_generations': 84, 'sol_per_pop': 299, 'parent_selection_type': 'sss', 'K_tournament': 0, 'crossover_type': 'scattered', 'crossover_probability': 0.59, 'mutation_type': 'scramble', 'mutation_probability': 0.53}",3480259279.6523204,[ 42  80 116 145 162],46.65773940086365
3,5,"{'fitness_function': 0.99, 'num_generations': 219, 'sol_per_pop': 157, 'parent_selection_type': 'sus', 'K_tournament': 0, 'crossover_type': 'single_point', 'crossover_probability': 0.7500000000000001, 'mutation_type': 'scramble', 'mutation_probability': 0.97}",8854296405.950678,[ 47  64 143 198 208],24.453229188919067
4,5,"{'fitness_function': 0.7500000000000001, 'num_generations': 232, 'sol_per_pop': 154, 'parent_selection_type': 'sss', 'K_tournament': 0, 'crossover_type': 'uniform', 'crossover_probability': 0.43000000000000005, 'mutation_type': 'scramble', 'mutation_probability': 0.97}",5556505371.689875,[ 72  95 131 165 187],31.495630979537964
5,5,"{'fitness_function': 0.68, 'num_generations': 314, 'sol_per_pop': 235, 'parent_selection_type': 'rank', 'K_tournament': 0, 'crossover_type': 'uniform', 'crossover_probability': 0.92, 'mutation_type': 'random', 'mutation_probability': 0.12000000000000001}",1326856196.801776,[ 69 109 142 168 186],45.284345388412476
